Task,Start,Finish,Resource
Auditoría técnica SEO,2026-01-01,2026-01-07,SEO Lead
Benchmark competitivo,2026-01-08,2026-01-14,SEO Lead
Revisión KW por marca,2026-01-15,2026-01-21,SEO Strategy
Core Web Vitals,2026-01-22,2026-01-28,Tech SEO
Metatags + Slugs,2026-01-29,2026-02-04,OnSite SEO
Schema.org,2026-02-05,2026-02-11,Tech SEO
Landing Aeropuertos,2026-02-12,2026-02-18,Content
Landing Empresas,2026-02-19,2026-02-25,Content
Cluster Destinos,2026-02-26,2026-03-04,Content
Optimización Evergreen,2026-03-05,2026-03-11,Content
Linkbuilding Turístico,2026-03-12,2026-03-18,OffSite
Linkbuilding B2B,2026-03-19,2026-03-25,OffSite
Google Business Profile,2026-03-19,2026-03-25,Local SEO
Reporte Final,2026-03-19,2026-03-25,SEO Lead
